,US,,,,
,2382,7964,332,2,0
,4021,5673,333,0,0
Soya beans,1560,1662,334,1,1662.306018
,92,548,335,2,0
,10,482,336,0,0
Soya sauce,446,475,337,1,474.9445766
,26,445,338,2,0
,3,443,339,0,0
Soya curd (tofu),416,443,340,1,443.2816048
,25,2765,341,2,0
,3,2902,342,0,0
soybean ingredient into the soymilk,2737,2916,343,1,2916.326348
,162,2916,344,2,0
,17,2916,345,0,0
Soy burger,2737,2916,346,1,2916.326348
,162,2015,347,2,0
,17,1961,348,0,0
Soya bean flour and meals,1836,1956,349,1,1955.654139
,109,3108,350,2,0
,11,3176,351,0,0
"Soya-bean oil crude, whether or not degummed",2988,3183,352,1,3182.80563
,177,3244,353,2,0
,18,3247,354,0,0
"Soya-bean oil and its fractions, refined but not chemically modified",3049,3248,355,1,3247.760847
,180,1494,356,2,0
,19,1390,357,0,0
"Soya-bean oil-cake&oth solid residues,whether or not ground or pellet",1294,1379,358,1,1378.988614
,77,1342,359,2,0
,8,1518,360,0,0
Ground-nuts in shell not roasted or otherwise cooked,1257,1693,361,1,1692.743327
,253,2231,362,2,0
,183,2340,363,0,0
"Ground-nuts shelld,whether or not broken,not roastd or otherwise cookd",1796,2418,364,1,2418.204753
,362,3957,365,2,0
,261,4266,366,0,0
"Ground-nut oil, crude",3334,4490,367,1,4489.76696
,672,4558,368,2,0
,484,4572,369,0,0
Ground-nut oil and its fractions refined but not chemically modified,3402,4581,370,1,4581.394857
,685,1850,371,2,0
,494,1300,372,0,0
"Ground-nut oil-cake&oth solid residues,whether or not ground or pellet",671,903,373,1,902.9721482
,135,232,374,2,0
,97,97,375,0,0
,,0,376,1,0
,,0,377,2,0
,,0,378,0,0
Copra,,0,379,1,0
,,0,380,2,0
,,0,381,0,0
Coconut (husked),,0,382,1,0
,,0,383,2,0
,,0,384,0,0
Coconut (copra) oil crude,,0,385,1,0
,,0,386,2,0
,,0,387,0,0
Coconut (copra) oil&its fractions refined but not chemically modified,,0,388,1,0
,,0,389,2,0
,,0,390,0,0
"Coconut/copra oil-cake&oth solid residues,whether/not ground/pellet",,0,391,1,0
,,0,392,2,0
,,0,393,0,0
"Coconut (coir) fibre, raw",,0,394,1,0
,,0,395,2,0
,,0,396,0,0
"Coconut (coir) fibre,processd nt spun;tow,noils&waste of coconut fib",,0,397,1,0
,,0,398,2,0
,,0,399,0,0
"Palm nuts and kernels, whether or not broken",,0,400,1,0
,,0,401,2,0
,,0,402,0,0
Oil palm fruit,,0,403,1,0
,,0,404,2,0
,,0,405,0,0
"Palm oil, crude",,0,406,1,0
,,0,407,2,0
,,0,408,0,0
Palm oil and its fractions refined but not chemically modified,,0,409,1,0
,,0,410,2,0
,,0,411,0,0
"Palm kernel or babassu oil, crude",,0,412,1,0
,,0,413,2,0
,,0,414,0,0
"Palm kernel/babassu oil their fract,refind but not chemically modifid",,0,415,1,0
,,0,416,2,0
,,0,417,0,0
"Palm nut/kernel oil-cake&oth solid residues,whether/not ground/pellet",,0,418,1,0
,,454,419,2,0
,,999,420,0,0
Olives,454,1074,421,1,1074.102933
,545,1074,422,2,0
,75,1074,423,0,0
"Olives,provisionally preservd but nt suitable f immediate consumption",454,1074,424,1,1074.102933
,545,2794,425,2,0
,75,4857,426,0,0
"Olive oil, virgin",2175,5142,427,1,5141.8111
,2607,5186,428,2,0
,360,5239,429,0,0
Olive oil and its fractions refined but not chemically modified,2219,5247,430,1,5246.74602
,2660,3995,431,2,0
,368,2494,432,0,0
"Oils&thr fract nes obt from olives,ref'd/not,not chem mod,incl blends",967,2287,433,1,2287.035662
,1160,1320,434,2,0
,160,160,435,0,0
"Castor oil seeds, whether or not broken",,0,436,1,0
,,0,437,2,0
,,0,438,0,0
"Castor oil&its fractions,whether/not refind,but not chemically modifid",,0,439,1,0
,,3142,440,2,0
,,3256,441,0,0
"Sunflower seeds, whether or not broken",3142,3640,442,1,3640.054929
,114,6711,443,2,0
,384,6822,444,0,0
"Sunflower-seed or safflower oil, crude",6213,7198,445,1,7197.768109
,226,7325,446,2,0
,760,7329,447,0,0
Sunflower-sed/safflower oil&their fractions refind but nt chem modifid,6339,7345,448,1,7344.661336
,230,2271,449,2,0
,775,2086,450,0,0
"Sunflower sed oil-cake&oth solid residues,whether/not ground/pellet",1265,1466,451,1,1465.893626
,46,3009,452,2,0
,155,2984,453,0,0
"Rape or colza seeds, whether or not broken",2808,3205,454,1,3204.878453
,21,5609,455,2,0
,376,5627,456,0,0
"Rape, colza or mustard oil crude",5212,5948,457,1,5948.427509
,38,6055,458,2,0
,698,6056,459,0,0
"Rape,colza o mustard oil&their fract,refind but not chemically modifid",5319,6070,460,1,6069.823989
,39,2130,461,2,0
,712,2101,462,0,0
"Rape/colza sed oil-cake&oth solid residues,whether/not ground/pellet",1379,1574,463,1,1574.126666
,10,1541,464,2,0
,185,2366,465,0,0
"Safflower seeds, whether or not broken",1346,2523,466,1,2522.882355
,835,1177,467,2,0
,342,342,468,0,0
"Sesamum seeds, whether or not broken",,0,469,1,0
,,0,470,2,0
,,0,471,0,0
"Sesame oil&its fractions whether/not refind,but not chemically modifid",,0,472,1,0
,,2156,473,2,0
,,2156,474,0,0
"Mustard seeds, whether or not broken",2156,2794,475,1,2794.315175
,,639,476,2,0
,639,639,477,0,0
"Poppy seeds, whether or not broken",,0,478,1,0
,,0,479,2,0
,,0,480,0,0
,,0,481,1,0
,,2114,482,2,0
,,3017,483,0,0
Seed cotton,2114,3230,484,1,3230.424528
,903,1816,485,2,0
,213,1211,486,0,0
"Cotton seeds, whether or not broken",699,1068,487,1,1068.138873
,299,5151,488,2,0
,71,6895,489,0,0
Cotton lint,4781,7307,490,1,7307.134396
,2043,3891,491,2,0
,483,2431,492,0,0
Cotton linters,1365,2086,493,1,2086.35938
,583,2797,494,2,0
,138,3101,495,0,0
"Cotton-seed oil crude, whether or not gossypol has been removed",2076,3173,496,1,3173.025921
,887,3173,497,2,0
,210,3173,498,0,0
Cotton-seed and its fractions refined but not chemically modified,2076,3173,499,1,3173.025921
,887,1548,500,2,0
,210,854,501,0,0
"Cotton sed oil-cake&oth solid residues,whether or not ground or pellet",451,690,502,1,689.8407597
,193,5020,503,2,0
,46,6870,504,0,0
"Cotton, not carded or combed",4781,7307,505,1,7307.134396
,2043,3406,506,2,0
,483,1739,507,0,0
Cotton yarn waste (including thread waste),880,1345,508,1,1344.884922
,376,1785,509,2,0
,89,1973,510,0,0
Garnetted stock of cotton,1320,2018,511,1,2017.947012
,564,2251,512,2,0
,133,2351,513,0,0
"Cotton waste, nes",1553,2374,514,1,2374.055308
,664,5784,515,2,0
,157,7241,516,0,0
"Cotton, carded or combed",4963,7586,517,1,7585.512679
,2121,7609,518,2,0
,501,7791,519,0,0
Cotton fabric and finished textiles,4987,8099,520,1,8098.714778
,2303,5521,521,2,0
,809,4175,522,0,0
"Linseed, whether or not broken",2409,3366,523,1,3365.726679
,957,5258,524,2,0
,,6010,525,0,0
"Linseed oil, crude",4301,6010,526,1,6009.532882
,1708,6097,527,2,0
,,6132,528,0,0
"Linseed oil and its fractions, refined but not chemically modified",4389,6132,529,1,6132.17641
,1743,3177,530,2,0
,,2004,531,0,0
"Linseed oil-cake&other solid residues,whether or not ground or pellet",1434,2004,532,1,2003.793921
,570,570,533,2,0
,,0,534,0,0
,,0,535,1,0
,,0,536,2,0
,,0,537,0,0
,,0,538,1,0
,,0,539,2,0
,,0,540,0,0
"Shea nuts (karite nuts), whether or not broken",,0,541,1,0
,,0,542,2,0
,,0,543,0,0
"Oil seeds and oleaginous fruits, nes, whether or not broken",,0,544,1,0
,,0,545,2,0
,,0,546,0,0
"Flours and meals of oil seeds or oleaginous fruits,except mustard,nes",,0,547,1,0
,,0,548,2,0
,,0,549,0,0
"Jojoba oil&its fractions whether/not refind,but not chemically modifid",,0,550,1,0
,,123,551,2,0
,,241,552,0,0
"Cabbages,kohlrabi,kale and sim edible brassicas nes,fresh or chilled",123,301,553,1,301.2365058
,119,378,554,2,0
,60,733,555,0,0
"Globe artichokes, fresh or chilled",200,790,556,1,789.771679
,474,1543,557,2,0
,116,2406,558,0,0
"Asparagus, fresh or chilled",953,2712,559,1,2712.245694
,1337,1789,560,2,0
,423,495,561,0,0
Cabbage lettuce (head lettuce) fresh or chilled,30,113,562,1,112.8663427
,42,113,563,2,0
,41,113,564,0,0
"Lettuce, fresh or chilled nes",30,113,565,1,112.8663427
,42,143,566,2,0
,41,137,567,0,0
"Spinach,N-Z spinach & orache spinach (garden spinach),fresh or chilled",60,184,568,1,184.1014586
,37,295,569,2,0
,88,363,570,0,0
"Spinach, N-Z spinach and orache spinach (garden spinach), frozen",170,526,571,1,526.0041674
,105,387,572,2,0
,251,356,573,0,0
"Tomatoes, fresh or chilled",31,127,574,1,127.0604532
,74,251,575,2,0
,22,548,576,0,0
"Tomato juice, concentrated",155,635,577,1,635.302266
,372,604,578,2,0
,109,530,579,0,0
Tomato paste,124,508,580,1,508.2418128
,297,462,581,2,0
,87,350,582,0,0
Tomato ketchup,77,318,583,1,317.651133
,186,343,584,2,0
,54,405,585,0,0
Tomato puree,103,424,586,1,423.534844
,248,359,587,2,0
,72,204,588,0,0
Peeled tomatoes,39,159,589,1,158.8255665
,93,739,590,2,0
,27,2134,591,0,0
"Tomato, dried",619,2541,592,1,2541.209064
,1487,1961,593,2,0
,435,566,594,0,0
"Tomato juice unfermented&not spirited,whether or not sugared or sweet",39,159,595,1,158.8255665
,93,281,596,2,0
,27,270,597,0,0
"Cauliflowers and headed broccoli, fresh or chilled",161,326,598,1,325.8169926
,82,326,599,2,0
,83,326,600,0,0
"Brussels sprouts, fresh or chilled",161,326,601,1,325.8169926
,82,317,602,2,0
,83,266,603,0,0
"Pumpkins, squash and gourds",152,256,604,1,256.3800874
,30,290,605,2,0
,74,401,606,0,0
"Cucumbers and gherkins, fresh or chilled",186,423,607,1,423.0955857
,142,423,608,2,0
,95,423,609,0,0
"Cucumbers&gherkins provisionally presvd,but nt f immediate consumption",186,423,610,1,423.0955857
,142,322,611,2,0
,95,273,612,0,0
"Aubergines(egg-plants), fresh or chilled",84,226,613,1,226.4306446
,93,237,614,2,0
,49,241,615,0,0
"Peppers of the genus Capsicum or of the genus Pimenta,fresh or chilled",95,249,616,1,249.4150098
,97,155,617,2,0
,58,58,618,0,0
"Onions and shallots, fresh or chilled",,0,619,1,0
,,53,620,2,0
,,127,621,0,0
"Onions,provisionally preservd but nt suitable f immediate consumption",53,159,622,1,159.2851387
,74,159,623,2,0
,32,159,624,0,0
Onions dried but not further prepared,53,159,625,1,159.2851387
,74,222,626,2,0
,32,334,627,0,0
"Garlic, fresh or chilled",116,379,628,1,379.2566936
,186,710,629,2,0
,77,1239,630,0,0
Garlic powder,447,1459,631,1,1458.679591
,715,1336,632,2,0
,297,755,633,0,0
"Beans, shelled or unshelled, fresh or chilled",324,748,634,1,747.8366139
,134,887,635,2,0
,290,944,636,0,0
"Beans, frozen",463,1068,637,1,1068.33802
,191,855,638,2,0
,414,775,639,0,0
"Peas, shelled or unshelled, fresh or chilled",249,525,640,1,525.2675498
,111,632,641,2,0
,164,680,642,0,0
"Peas, frozen",356,750,643,1,750.3822141
,159,723,644,2,0
,235,676,645,0,0
String beans,329,628,646,1,628.0295068
,111,364,647,2,0
,187,272,648,0,0
"Carrots and turnips, fresh or chilled",65,124,649,1,124.2959666
,20,124,650,2,0
,39,124,651,0,0
"Celery, other than celeriac, fresh or chilled",65,124,652,1,124.2959666
,20,670,653,2,0
,39,875,654,0,0
Okra,611,1037,655,1,1036.542519
,224,622,656,2,0
,201,630,657,0,0
"Maize, green",197,533,658,1,533.1790059
,232,533,659,2,0
,104,533,660,0,0
"Sweet corn, frozen",197,533,661,1,533.1790059
,232,336,662,2,0
,104,104,663,0,0
,,0,664,1,0
,,39,665,2,0
,,84,666,0,0
"Vegetables, fresh or chilled nes",39,108,667,1,108.3141738
,46,125,668,2,0
,24,144,669,0,0
"Vegetables, frozen nes",55,155,670,1,154.734534
,65,138,671,2,0
,34,119,672,0,0
"Mixtures of vegetables, frozen",39,108,673,1,108.3141738
,46,108,674,2,0
,24,108,675,0,0
Vegetables nes&mixtures provis presvd but nt f immediate consumptn,39,108,676,1,108.3141738
,46,180,677,2,0
,24,265,678,0,0
"Vegetables and mixtures dried, but not further prepared nes",111,309,679,1,309.4690679
,130,237,680,2,0
,69,153,681,0,0
Vegetable products nes used primarily for human consumption,39,108,682,1,108.3141738
,46,441,683,2,0
,24,710,684,0,0
"Bananas including plantains, fresh or dried",372,762,685,1,762.0111396
,315,762,686,2,0
,76,762,687,0,0
Bananas,372,762,688,1,762.0111396
,315,390,689,2,0
,76,76,690,0,0
,,0,691,1,0
,,231,692,2,0
,,289,693,0,0
"Oranges, fresh or dried",231,332,694,1,331.7777155
,57,521,695,2,0
,43,568,696,0,0
"Orange juice,unfermentd&not spiritd,whether/not sugard/sweet,frozen",421,603,697,1,603.23221
,104,603,698,2,0
,78,603,699,0,0
"Orange juice nes,unfermentd&not spiritd,whether or not sugard or sweet",421,603,700,1,603.23221
,104,494,701,2,0
,78,473,702,0,0
"Mandarins(tang&sats)clementines&wilkgs &sim citrus hybrids,fresh/drid",311,455,703,1,455.0315689
,84,395,704,2,0
,60,364,705,0,0
"Lemons and limes, fresh or dried",251,349,706,1,348.600141
,52,303,707,2,0
,45,308,708,0,0
"Grapefruit, fresh or dried",206,303,709,1,302.7119832
,57,371,710,2,0
,40,390,711,0,0
"Grapefruit juice,unfermentd&not spiritd,whether or not sugard or sweet",274,404,712,1,403.6159776
,77,354,713,2,0
,53,338,714,0,0
"Citrus fruits, fresh or dried, nes",225,328,715,1,328.2240668
,60,372,716,2,0
,43,384,717,0,0
"Peel of citrus fruit/melons (watermelons) fresh,frz,drid/prov presvd",269,393,718,1,392.7525734
,72,410,719,2,0
,52,415,720,0,0
"Citrus fruit juice nes exc mx unferment unspiritd,wthr/nt sug/sweet",286,418,721,1,418.2471335
,77,418,722,2,0
,55,418,723,0,0
"Fruit&veg juice nes (exc mx) unferment unspiritd,whether/not sug/sweet",286,418,724,1,418.2471335
,77,418,725,2,0
,55,418,726,0,0
Mixtures of juices unfermentd&not spiritd whether o not sugard o sweet,286,418,727,1,418.2471335
,77,280,728,2,0
,55,447,729,0,0
"Apples, fresh",148,447,730,1,446.6378474
,244,1534,731,2,0
,54,3323,732,0,0
"Apples, dried",1236,3722,733,1,3721.982061
,2032,2692,734,2,0
,453,998,735,0,0
Apple juice unfermented&not spiritd whether or not sugard or sweetend,206,620,736,1,620.3303435
,339,541,737,2,0
,76,391,738,0,0
"Pears and quinces, fresh",127,360,739,1,359.5002529
,188,562,740,2,0
,45,910,741,0,0
"Apricots, fresh",329,993,742,1,992.6106477
,536,1798,743,2,0
,127,3111,744,0,0
"Apricots, dried",1135,3423,745,1,3422.795337
,1849,2799,746,2,0
,439,1640,747,0,0
Sour cherries,511,1394,748,1,1394.126898
,690,1411,749,2,0
,194,1626,750,0,0
"Cherries, fresh",528,1631,751,1,1630.917257
,905,1631,752,2,0
,199,1631,753,0,0
Cherries provisionally preservd but unsuitable f immediate consumption,528,1631,754,1,1630.917257
,905,1323,755,2,0
,199,743,756,0,0
"Peaches, including nectarines, fresh",220,625,757,1,625.2881412
,325,712,758,2,0
,81,880,759,0,0
"Plums and sloes, fresh",307,909,760,1,909.2188736
,492,1480,761,2,0
,110,2394,762,0,0
"Prunes, dried",878,2598,763,1,2597.76821
,1406,1720,764,2,0
,314,314,765,0,0
,,0,766,1,0
,,0,767,2,0
,,0,768,0,0
Mixtures of edible nuts or dried fruits of this chapter,,0,769,1,0
,,0,770,2,0
,,0,771,0,0
"Apricot,peach/plum stones&kernels nes,usd primly f human consumption",,0,772,1,0
,,79,773,2,0
,,133,774,0,0
"Strawberries, fresh",79,165,775,1,165.3869124
,54,165,776,2,0
,32,165,777,0,0
"Strawberries,uncookd o steamd o boild in water,sweetend o not,frozen",79,165,778,1,165.3869124
,54,165,779,2,0
,32,165,780,0,0
Strawberries provis preservd but unsuitable f immediate consumption,79,165,781,1,165.3869124
,54,258,782,2,0
,32,430,783,0,0
"Raspberries, blackberries, mulberries and loganberries, fresh",171,563,784,1,563.3770837
,227,563,785,2,0
,165,563,786,0,0
"Raspberries,mulberries,etc uncook,steam/boil in water sweetend/nt,froz",171,563,787,1,563.3770837
,227,392,788,2,0
,165,165,789,0,0
,,0,790,1,0
,,0,791,2,0
,,0,792,0,0
"Black, white or red currants and gooseberries, fresh",,0,793,1,0
,,0,794,2,0
,,0,795,0,0
,,0,796,1,0
,,229,797,2,0
,,532,798,0,0
Blueberries,229,753,799,1,752.809884
,303,610,800,2,0
,221,421,801,0,0
